VehId,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
381,HEV,NO DATA,4-GAS/ELECTRIC 2.4L,NO DATA,NO DATA,3500
382,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
383,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
384,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
385,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
386,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
387,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,CVT,NO DATA,3000
389,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
392,HEV,NO DATA,6-GAS/ELECTRIC 3.5L,NO DATA,NO DATA,4500
393,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500
394,ICE,NO DATA,8-FI 5.3L,NO DATA,NO DATA,5000
397,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
399,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
400,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
401,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
402,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
403,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
404,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
405,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
406,HEV,NO DATA,3-FI 1.0L GAS/ELEC.,NO DATA,NO DATA,2000
407,HEV,NO DATA,4-GAS/ELECTRIC 2.3L,NO DATA,NO DATA,3500
409,ICE,NO DATA,4-FI 2.4L,4-SP AUTOMATIC,NO DATA,3500
