VehId,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
526,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
527,ICE,NO DATA,6-EFI 3.0L,NO DATA,NO DATA,3500
528,ICE,NO DATA,6-FI 3.3L,NO DATA,NO DATA,4500
529,ICE,NO DATA,6-FI 3.7L,NO DATA,NO DATA,4500
530,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
531,ICE,NO DATA,4-FI 1.5L,5-SP AUTOMATIC,NO DATA,2500
532,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500
533,ICE,NO DATA,4-FI 2.0L T/C,NO DATA,NO DATA,3500
534,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500
535,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4000
538,ICE,NO DATA,5-FI 2.5L,NO DATA,NO DATA,3000
539,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000
540,ICE,NO DATA,4-FI S/C 1.8L GAS,NO DATA,NO DATA,3500
543,HEV,NO DATA,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
546,ICE,NO DATA,4-FI 1.5L,CVT,NO DATA,2500
547,ICE,NO DATA,4-FI 1.6L,NO DATA,NO DATA,2500
548,ICE,NO DATA,4-FI 1.5L T/C,NO DATA,NO DATA,3500
549,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
552,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
555,HEV,NO DATA,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
557,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
558,HEV,NO DATA,4-GAS/ELECTRIC 1.6L,NO DATA,NO DATA,3000
562,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3000
563,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
564,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
565,HEV,NO DATA,4-FI 1.3L GAS/ELEC.,CVT,NO DATA,2500
566,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
571,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
573,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
574,HEV,NO DATA,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
575,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
576,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,NO DATA
577,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
578,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,2500
579,HEV,NO DATA,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
580,ICE,NO DATA,4-FI 2.5L,6-SP AWD MANUAL,NO DATA,3500
581,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
584,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
587,ICE,NO DATA,2.3L Gasoline I4,5-SP MANUAL,NO DATA,NO DATA
588,ICE,NO DATA,I4 2.4L Flex Fuel,9-SP Automatic,NO DATA,NO DATA
591,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
592,ICE,NO DATA,2.4L,,NO DATA,4000
595,ICE,NO DATA,4-FI 1.6L T/C,NO DATA,NO DATA,3500
596,ICE,NO DATA,3.0L 6cyl 4A,,NO DATA,NO DATA
597,ICE,NO DATA,H-4 2.0 L/122,CVT,NO DATA,3000
598,ICE,NO DATA,6-FI 3.5L,5-SP AUTOMATIC,NO DATA,3500
599,ICE,NO DATA,I4 2.2L,,NO DATA,NO DATA
600,ICE,NO DATA,4-FI 1.6L,NO DATA,NO DATA,2500
601,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
602,ICE,NO DATA,V6 4.0L,4-SP Automatic,NO DATA,NO DATA
603,ICE,NO DATA,V6 3.1L,4-SP Automatic,NO DATA,NO DATA
604,ICE,NO DATA,V8 4.7L,5-SP Automatic,NO DATA,NO DATA
605,HEV,NO DATA,4-GAS/ELECTRIC 2.3L,NO DATA,NO DATA,4000
606,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
607,ICE,NO DATA,V6 3.0L,4-SP Automatic,NO DATA,NO DATA
608,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
609,ICE,NO DATA,V6 3.8L,4-SP Automatic,NO DATA,NO DATA
610,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
616,ICE,NO DATA,V6 3.5L,5-SP Automatic,NO DATA,NO DATA
618,ICE,NO DATA,V6 3.5L,4-SP Automatic,NO DATA,NO DATA
624,ICE,NO DATA,H-4 2.5L,5-SP Automatic,NO DATA,NO DATA
625,ICE,NO DATA,I-4 1.8L,CVT,NO DATA,3000
630,ICE,NO DATA,I-4 2.4L,Automatic,NO DATA,NO DATA
